25	3	2024-04-08 17:47:08.0	02:38
26	10	2024-04-09 16:47:34.0	00:01
27	11	2024-04-10 03:59:21.0	00:00
28	9	2024-04-11 02:41:16.0	00:10
29	9	2024-04-11 02:51:45.0	01:57
30	4	2024-04-11 04:29:42.0	04:29
31	6	2024-04-13 17:31:26.0	03:40
32	8	2024-04-13 18:19:32.0	03:36
33	10	2024-04-13 23:36:05.0	02:25
34	6	2024-04-15 18:01:39.0	90:09
35	9	2024-04-17 17:07:31.0	01:24
36	11	2024-04-18 09:35:36.0	04:13
37	4	2024-04-18 10:08:41.0	08:04
38	6	2024-04-19 12:11:03.0	36:13
39	4	2024-04-20 13:37:52.0	00:51
40	2	2024-04-21 20:53:24.0	00:00
41	11	2024-04-28 18:39:32.0	01:30
42	7	2024-04-30 08:32:48.0	00:27
43	11	2024-05-03 12:31:47.0	02:07
44	9	2024-05-03 12:31:49.0	01:58
45	2	2024-05-05 19:55:51.0	01:42
46	9	2024-05-07 18:07:50.0	01:15
47	4	2024-05-07 18:07:51.0	00:55
48	3	2024-05-07 18:07:54.0	00:54
49	2	2024-05-08 13:55:15.0	00:01
50	2	2024-05-08 13:55:15.0	00:01
51	2	2024-05-08 13:55:15.0	00:01
52	6	2024-05-08 13:56:21.0	197:16
53	7	2024-05-08 13:56:21.0	07:19
54	8	2024-05-08 13:56:21.0	00:39
55	6	2024-05-08 13:56:21.0	197:16
56	3	2024-05-08 13:56:21.0	00:00
57	2	2024-05-09 01:02:23.0	00:20
58	6	2024-05-08 13:56:21.0	197:16
59	3	2024-05-13 16:46:32.0	01:31
60	4	2024-05-13 16:46:40.0	01:31
61	8	2024-05-13 19:27:07.0	00:54
62	4	2024-05-14 09:12:51.0	04:32
63	10	2024-05-14 14:21:17.0	00:31
64	9	2024-05-15 18:28:55.0	00:00
65	10	2024-05-19 23:03:00.0	09:37
66	10	2024-05-22 14:25:08.0	00:01
67	10	2024-05-22 18:25:57.0	02:18
68	4	2024-05-23 12:00:28.0	01:04
69	8	2024-05-24 20:57:48.0	456:52
70	10	2024-05-25 00:30:48.0	00:52
71	6	2024-05-25 20:06:19.0	00:14
72	9	2024-05-26 00:01:24.0	00:00
73	2	2024-05-26 16:23:10.0	03:47
74	10	2024-05-28 17:17:33.0	24:04
75	3	2024-05-28 21:21:15.0	00:32
76	2	2024-05-29 15:04:43.0	01:24
77	4	2024-06-02 22:43:29.0	00:36
78	3	2024-06-05 13:20:14.0	00:13
79	9	2024-06-05 13:34:13.0	00:24
80	7	2024-06-05 13:34:16.0	00:24
81	7	2024-06-06 19:54:41.0	02:35
82	11	2024-06-08 21:02:13.0	00:27
83	8	2024-05-24 20:57:48.0	456:52
84	2	2024-06-09 22:37:13.0	00:45
85	10	2024-06-10 14:26:06.0	00:25
86	8	2024-05-24 20:57:48.0	456:52
87	6	2024-06-13 07:53:03.0	02:54
88	7	2024-06-13 07:53:07.0	11:51
89	2	2024-06-14 13:46:57.0	00:03
90	3	2024-06-16 00:09:09.0	00:06
91	4	2024-06-17 11:29:04.0	02:48
92	3	2024-06-17 20:53:28.0	00:55
93	11	2024-06-19 10:14:34.0	130:15
94	8	2024-06-19 17:36:59.0	00:48
95	10	2024-06-19 23:40:18.0	00:00
96	10	2024-06-19 23:41:25.0	00:14
97	7	2024-06-20 19:39:41.0	02:30
98	6	2024-06-20 22:11:03.0	617:03
99	9	2024-06-22 23:05:06.0	00:02
100	9	2024-06-24 20:18:31.0	00:11
101	11	2024-06-19 10:14:34.0	130:15
102	2	2024-06-25 18:37:36.0	00:00
103	2	2024-06-25 18:53:10.0	00:06
104	11	2024-06-28 13:45:13.0	00:02
105	9	2024-06-29 10:33:28.0	00:46
106	8	2024-06-29 10:33:29.0	00:46
107	9	2024-07-06 15:58:30.0	02:39
108	6	2024-06-20 22:11:03.0	617:03
109	10	2024-07-11 12:45:27.0	27:19
110	3	2024-07-11 23:58:40.0	190:58
111	4	2024-07-15 15:49:54.0	00:42
112	6	2024-06-20 22:11:03.0	617:03
113	10	2024-07-16 14:11:46.0	00:03
114	7	2024-07-16 14:42:09.0	191:32
115	3	2024-07-11 23:58:40.0	190:58
116	3	2024-07-21 19:18:25.0	18:11
117	3	2024-07-21 19:18:25.0	18:11
118	11	2024-07-23 10:02:46.0	03:50
119	9	2024-07-23 13:52:49.0	00:00
120	11	2024-07-23 13:53:05.0	00:03
121	8	2024-07-23 16:14:26.0	00:08
122	7	2024-07-16 14:42:09.0	191:32
123	8	2024-07-24 11:47:17.0	00:00
124	9	2024-07-24 14:17:35.0	01:08
125	4	2024-07-24 17:51:20.0	00:11
126	4	2024-07-24 18:04:23.0	01:08
127	8	2024-07-24 19:27:46.0	00:28
128	11	2024-07-25 10:18:38.0	05:55
129	9	2024-07-25 10:45:22.0	00:05
130	9	2024-07-25 11:16:48.0	02:40
131	3	2024-07-25 17:12:39.0	03:22
132	11	2024-07-30 22:57:30.0	00:09
133	9	2024-08-04 17:16:13.0	02:12
134	9	2024-08-05 15:29:32.0	00:58
135	2	2024-08-09 13:44:55.0	73:44
136	11	2024-08-13 10:13:08.0	null
