25	8	2024-04-08 20:16:18.0	05:08
26	11	2024-04-08 20:16:31.0	03:10
27	9	2024-04-08 20:16:22.0	01:23
28	10	2024-04-08 22:01:49.0	02:42
29	4	2024-04-08 22:01:45.0	02:25
30	3	2024-04-09 11:35:04.0	13:43
31	9	2024-04-09 11:35:06.0	12:15
32	4	2024-04-09 11:35:02.0	11:27
33	10	2024-04-09 16:45:10.0	04:35
34	11	2024-04-09 16:48:12.0	04:14
35	3	2024-04-09 15:33:26.0	02:35
36	4	2024-04-09 16:43:57.0	03:27
37	9	2024-04-09 16:44:59.0	01:01
38	11	2024-04-09 21:33:27.0	03:05
39	9	2024-04-09 21:27:07.0	02:48
40	4	2024-04-09 22:30:15.0	01:11
41	3	2024-04-09 23:08:07.0	01:21
42	9	2024-04-09 22:50:41.0	00:32
43	11	2024-04-09 23:31:18.0	00:46
44	3	2024-04-10 00:37:46.0	01:03
45	9	2024-04-10 00:44:04.0	00:35
46	4	2024-04-10 01:51:18.0	00:25
47	10	2024-04-10 03:59:23.0	02:29
48	10	2024-04-10 03:59:23.0	02:29
49	3	2024-04-10 01:49:14.0	00:14
50	3	2024-04-10 01:49:14.0	00:14
51	3	2024-04-10 02:31:25.0	00:24
52	8	2024-04-10 16:37:58.0	14:06
53	11	2024-04-10 03:59:15.0	00:50
54	9	2024-04-10 16:37:52.0	13:14
55	4	2024-04-10 18:59:39.0	15:17
56	3	2024-04-10 18:13:05.0	13:52
57	10	2024-04-10 18:12:58.0	10:20
58	11	2024-04-10 18:59:36.0	00:50
59	4	2024-04-10 18:59:39.0	15:17
60	10	2024-04-10 20:38:01.0	01:32
61	3	2024-04-10 20:22:46.0	01:12
62	9	2024-04-10 20:46:14.0	00:48
63	11	2024-04-10 21:47:56.0	00:59
64	4	2024-04-10 21:47:52.0	00:35
65	3	2024-04-10 23:19:42.0	00:47
66	10	2024-04-10 23:19:55.0	00:45
67	4	2024-04-11 00:17:04.0	01:03
68	10	2024-04-11 00:17:11.0	00:12
69	9	2024-04-11 05:38:06.0	05:03
70	4	2024-04-11 01:17:43.0	00:02
71	4	2024-04-11 01:17:43.0	00:02
72	3	2024-04-11 05:32:47.0	04:12
73	4	2024-04-11 00:01:57.0	02:49
74	11	2024-04-11 07:45:01.0	04:21
75	9	2024-04-11 10:58:49.0	03:49
76	4	2024-04-11 12:21:42.0	02:26
77	10	2024-04-11 14:32:47.0	03:14
78	11	2024-04-11 14:51:58.0	02:55
79	3	2024-04-11 15:15:10.0	00:26
80	4	2024-04-11 15:35:21.0	00:35
81	3	2024-04-11 16:40:30.0	03:26
82	9	2024-04-11 16:53:33.0	03:13
83	4	2024-04-11 17:45:44.0	14:16
84	10	2024-04-11 18:44:55.0	13:51
85	3	2024-04-12 04:47:31.0	07:56
86	4	2024-04-12 08:02:36.0	03:30
87	9	2024-04-12 08:36:00.0	05:32
88	11	2024-04-12 10:21:28.0	03:46
89	10	2024-04-12 11:34:52.0	02:33
90	4	2024-04-12 13:13:55.0	02:31
91	3	2024-04-12 15:01:46.0	00:43
92	10	2024-04-12 15:51:04.0	00:51
93	9	2024-04-12 16:06:45.0	00:36
94	11	2024-04-12 16:32:58.0	02:40
95	4	2024-04-12 16:48:01.0	02:21
96	3	2024-04-12 18:29:23.0	00:39
97	8	2024-04-12 19:47:29.0	00:56
98	9	2024-04-12 19:50:12.0	00:53
99	10	2024-04-12 20:08:27.0	02:36
100	3	2024-04-12 20:25:56.0	01:56
101	11	2024-04-12 21:04:36.0	01:51
102	4	2024-04-12 23:06:40.0	01:49
103	9	2024-04-12 23:29:30.0	07:11
104	3	2024-04-12 23:32:52.0	01:23
105	8	2024-04-13 01:44:24.0	16:35
106	4	2024-04-13 01:56:31.0	09:03
107	10	2024-04-13 02:15:21.0	09:19
108	11	2024-04-13 06:41:29.0	00:00
109	11	2024-04-13 09:41:20.0	03:41
110	3	2024-04-13 11:32:16.0	03:01
111	7	2024-04-13 11:49:55.0	55:11
112	4	2024-04-13 12:01:14.0	01:21
