2025-01-12 00:19:42 INFO  [AWT-EventQueue-0] com.motelinteligente.dados.fquartos - Operação bem-sucedida: UPDATE registralocado SET horafim='2025-01-12 00:18:04.026', horainicio='2025-01-11 21:49:00.0', valorquarto=60.0, valorconsumo=0.0, pagodinheiro=0.0, pagopix=0.0, pagocartao=50.0, idcaixaatual=282 WHERE idlocacao=4533
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-12 00:31:24 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-12 00:31:25 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-12 00:31:25 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
2025-01-12 00:31:25 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: registravendido
2025-01-12 00:31:25 INFO  [Thread-107] c.m.dados.CheckSincronia - Verificando tabela: status
2025-01-12 00:31:25 WARN  [Thread-107] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-12 00:31:25 INFO  [Thread-107] c.m.dados.CheckSincronia - Os bancos de dados não estão sincronizados e foram corrigidos.
2025-01-12 01:24:18 INFO  [http-nio-0.0.0.0-1521-exec-7] c.m.d.MotelInteligenteApplication - Recebeu requisição com corpo: locar 10
2025-01-12 01:24:18 INFO  [http-nio-0.0.0.0-1521-exec-7] com.motelinteligente.dados.fquartos - Registro inserido com sucesso: ID = 4535, Quarto = 10
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: alarmes
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: antecipado
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: caixa
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: configuracoes
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: desistencia
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: funcionario
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: imagens
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: justificativa
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: prevendidos
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: produtos
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: quartos
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: registralimpeza
2025-01-12 01:31:24 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: registralocado
2025-01-12 01:31:24 WARN  [Thread-109] c.m.dados.CheckSincronia - Discrepância encontrada na tabela %s para ID %s%n
2025-01-12 01:31:25 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: registramanutencao
2025-01-12 01:31:25 INFO  [Thread-109] c.m.dados.CheckSincronia - Verificando tabela: registrareserva
